Genes	Count	nr_ssu	slen	Gene_normalized	sample_id	Phenotype
blaOXA-392_1_AB901044_1	858	28525	276	0.07846663872270701	SRR18313617_unique_run_id	Beta-lactam
tet(39)_1_KT346360_1	853	33486	373	0.049171043270614154	SRR17656809_unique_run_id	Tetracycline
aph(6)-Id_1_M28829_1	823	28525	278	0.07472430469296779	SRR18313617_unique_run_id	Aminoglycoside
tet(C)_1_NC_003123_1	811	72555	396	0.02032314043891468	SRR17656794_unique_run_id	Tetracycline
tet(32)_1_EU722333_1	810	23935	639	0.03813144166860364	SRR24947116_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	804	75010	491	0.01571765991282629	SRR17656799_unique_run_id	Multiple
aph(3'')-Ib_1_M28829_1	792	28525	267	0.0748722291701543	SRR18313617_unique_run_id	Aminoglycoside
tet(39)_1_KT346360_1	780	71425	373	0.021079874369053574	SRR17656795_unique_run_id	Tetracycline
tet(39)_1_KT346360_1	776	97396	373	0.015379572540812628	SRR17656796_unique_run_id	Tetracycline
sul1_5_EU780013_1	754	28525	288	0.0660823838737949	SRR18313617_unique_run_id	Folate pathway antagonist
OqxB_1_EU370913_1	739	70517	1050	0.007186109124648767	SRR17656798_unique_run_id	Multiple
floR_1_AF071555_1	727	28525	404	0.045421334420909225	SRR18313617_unique_run_id	Amphenicol
sul1_5_EU780013_1	683	67198	288	0.02540998243995357	DRR528403_unique_run_id	Folate pathway antagonist
tet(A)_6_AF534183_1	679	23629	424	0.04879676955963132	SRR18313616_unique_run_id	Tetracycline
vanM_1_FJ349556_1	676	70517	226	0.030540555023385436	SRR17656798_unique_run_id	Glycopeptide
tet(C)_1_NC_003123_1	655	21774	396	0.054694088863281476	ERR10466843_unique_run_id	Tetracycline
tet(C)_1_NC_003123_1	631	32914	396	0.034856678837963395	SRR18313620_unique_run_id	Tetracycline
tet(L)_2_M29725_1	616	104385	458	0.00927704439791141	SRR17656802_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	602	87972	491	0.010034668501725645	SRR17656801_unique_run_id	Multiple
mph(E)_1_DQ839391_1	577	70517	294	0.02003858962363396	SRR17656798_unique_run_id	Macrolide
tet(A)_6_AF534183_1	573	28525	424	0.034111090900071105	SRR18313617_unique_run_id	Tetracycline
floR_1_AF071555_1	572	75010	404	0.013590267172297818	SRR17656799_unique_run_id	Amphenicol
tet(G)_3_S52437_1	553	29851	393	0.033939558841994115	SRR18313618_unique_run_id	Tetracycline
sul1_5_EU780013_1	535	32914	288	0.04063620343926597	SRR18313620_unique_run_id	Folate pathway antagonist
blaGES-1_1_HQ170511_1	530	28251	287	0.047064412754899865	SRR18313613_unique_run_id	Beta-lactam
tet(C)_1_NC_003123_1	527	29851	396	0.03209881806913732	SRR18313618_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	525	72555	491	0.010610673748308925	SRR17656794_unique_run_id	Multiple
tet(X)_1_GU014535_1	503	28525	388	0.032722245814396846	SRR18313617_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	502	15780	388	0.05903335815922543	SRR18313643_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	496	72555	424	0.011608630017826424	SRR17656794_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	482	71425	424	0.011459440896573131	SRR17656795_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	481	22803	388	0.03914297766029158	SRR18313637_unique_run_id	Tetracycline
vanM_1_FJ349556_1	481	71425	226	0.02145452405363631	SRR17656795_unique_run_id	Glycopeptide
mph(E)_1_DQ839391_1	475	75010	294	0.015508136330121968	SRR17656799_unique_run_id	Macrolide
aph(6)-Id_1_M28829_1	461	23629	278	0.05052930020451031	SRR18313616_unique_run_id	Aminoglycoside
tet(S)_3_X92946_1	460	72555	646	0.007066273839873371	SRR17656794_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	459	40174	424	0.019401452737196966	SRR17656797_unique_run_id	Tetracycline
OqxA_1_EU370913_1	458	71425	391	0.011807853819800965	SRR17656795_unique_run_id	Multiple
OqxB_1_EU370913_1	458	32740	1050	0.009592460075050178	SRR15530470_unique_run_id	Multiple
ampH_1_AJ276031_1	453	79177	264	0.01560370493267673	DRR528401_unique_run_id	Beta-lactam
sul2_7_HM486907_1	451	59516	283	0.019279193741172904	SRR17656810_unique_run_id	Folate pathway antagonist
mph(E)_1_DQ839391_1	447	33486	294	0.032691091129159064	SRR17656809_unique_run_id	Macrolide
aph(3'')-Ib_1_M28829_1	441	23629	267	0.050328557414451205	SRR18313616_unique_run_id	Aminoglycoside
ampH_1_AJ276031_1	437	52971	264	0.02249944652391274	DRR528402_unique_run_id	Beta-lactam
msr(E)_1_FR751518_1	430	2674	491	0.23580774052618028	SRR29811079_unique_run_id	Multiple
msr(E)_1_FR751518_1	421	2103	491	0.2935579373080644	SRR29811082_unique_run_id	Multiple
OqxB_1_EU370913_1	421	104385	1050	0.0027655861884917786	SRR17656802_unique_run_id	Multiple
tet(X)_1_GU014535_1	420	13951	388	0.05586563280761014	SRR18313641_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	417	70517	424	0.010041737560406282	SRR17656798_unique_run_id	Tetracycline
sul2_7_HM486907_1	415	54405	283	0.019406863131928673	SRR17656811_unique_run_id	Folate pathway antagonist
tet(X)_1_GU014535_1	403	32914	388	0.022720880219553742	SRR18313620_unique_run_id	Tetracycline
OqxA_1_EU370913_1	402	87972	391	0.008414674606416851	SRR17656801_unique_run_id	Multiple
tet(X)_1_GU014535_1	395	20339	388	0.03603862976162296	SRR18313645_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	388	97396	491	0.0058417317288422714	SRR17656796_unique_run_id	Multiple
sul1_5_EU780013_1	387	72555	288	0.013334711598097996	SRR17656794_unique_run_id	Folate pathway antagonist
tet(X)_1_GU014535_1	375	14141	388	0.04920983584327797	SRR18313640_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	365	29851	424	0.020763502755509596	SRR18313618_unique_run_id	Tetracycline
mph(E)_1_DQ839391_1	365	87972	294	0.010160932467380621	SRR17656801_unique_run_id	Macrolide
sul2_7_HM486907_1	363	70517	283	0.013096608887283827	SRR17656798_unique_run_id	Folate pathway antagonist
aph(6)-Id_1_M28829_1	360	32914	278	0.028327584028663318	SRR18313620_unique_run_id	Aminoglycoside
OqxB_1_EU370913_1	357	40174	1050	0.0060934933041270475	SRR17656797_unique_run_id	Multiple
sul1_5_EU780013_1	354	23629	288	0.03745397604638369	SRR18313616_unique_run_id	Folate pathway antagonist
tet(39)_1_KT346360_1	352	104385	373	0.006509209244340752	SRR17656802_unique_run_id	Tetracycline
aph(6)-Id_1_M28829_1	346	75010	278	0.011946608557707893	SRR17656799_unique_run_id	Aminoglycoside
ant(3'')-Ia_1_X02340_1	345	28525	323	0.026960219024645696	SRR18313617_unique_run_id	Aminoglycoside
sul1_5_EU780013_1	342	29851	288	0.0286422565408194	SRR18313618_unique_run_id	Folate pathway antagonist
sul1_5_EU780013_1	341	28409	288	0.030008096025907278	SRR18313615_unique_run_id	Folate pathway antagonist
msr(E)_1_FR751518_1	339	1828	491	0.271940887841096	SRR29811072_unique_run_id	Multiple
tet(39)_1_KT346360_1	336	40174	373	0.016144249725490365	SRR17656797_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	333	23629	388	0.02615168413093643	SRR18313616_unique_run_id	Tetracycline
aph(6)-Id_1_M28829_1	333	54405	278	0.015852330542513882	SRR17656811_unique_run_id	Aminoglycoside
tet(X)_1_GU014535_1	332	20705	388	0.029755251109722488	SRR18313642_unique_run_id	Tetracycline
aph(6)-Id_1_M28829_1	331	59516	278	0.014403961742226622	SRR17656810_unique_run_id	Aminoglycoside
tet(39)_1_KT346360_1	330	34187	373	0.018632735222009904	SRR17656800_unique_run_id	Tetracycline
tet(39)_1_KT346360_1	329	33175	373	0.019142939687375626	SRR17656812_unique_run_id	Tetracycline
sul1_5_EU780013_1	327	26209	288	0.03119157541302606	SRR18313619_unique_run_id	Folate pathway antagonist
aph(3'')-Ib_1_M28829_1	327	75010	267	0.01175573593932794	SRR17656799_unique_run_id	Aminoglycoside
sul1_5_EU780013_1	325	25084	288	0.0323911656833041	SRR18313614_unique_run_id	Folate pathway antagonist
tet(A)_6_AF534183_1	325	20773	424	0.026567505533761623	SRR18313644_unique_run_id	Tetracycline
qnrS2_1_DQ485530_1	320	224532	218	0.004707038346182077	SRR26541425_unique_run_id	Quinolone
blaOXA-212_1_JN861780_1	320	97396	274	0.008633577481711355	SRR17656796_unique_run_id	Beta-lactam
floR_1_AF071555_1	318	59516	404	0.00952235824429274	SRR17656810_unique_run_id	Amphenicol
qnrB8_1_EU043312_1	312	67198	214	0.015621292689785772	DRR528403_unique_run_id	Quinolone
OqxB_1_EU370913_1	305	36205	1050	0.00577662911594689	SRR15530465_unique_run_id	Multiple
aadA12_1_AY665771_1	304	28525	263	0.029175927993255194	SRR18313617_unique_run_id	Aminoglycoside
tet(X)_1_GU014535_1	304	24473	388	0.02305086059494979	SRR18313634_unique_run_id	Tetracycline
tmexD1_1_MK347425_1	301	32914	1044	0.006306927352997257	SRR18313620_unique_run_id	Tetracycline
mph(E)_1_DQ839391_1	298	72555	294	0.010058519996793426	SRR17656794_unique_run_id	Macrolide
aph(3'')-Ib_1_M28829_1	296	59516	267	0.013411557349133196	SRR17656810_unique_run_id	Aminoglycoside
tet(36)_1_AJ514254_1	295	70517	640	0.004706311953146049	SRR17656798_unique_run_id	Tetracycline
OqxA_1_EU370913_1	292	72555	391	0.007410904964767005	SRR17656794_unique_run_id	Multiple
sul1_5_EU780013_1	291	33486	288	0.021725497222719943	SRR17656809_unique_run_id	Folate pathway antagonist
aph(3'')-Ib_1_M28829_1	290	54405	267	0.014374091938426842	SRR17656811_unique_run_id	Aminoglycoside
tet(A)_6_AF534183_1	290	22803	424	0.02159596676703413	SRR18313637_unique_run_id	Tetracycline
tet(C)_1_NC_003123_1	289	26209	396	0.020048630068089032	SRR18313619_unique_run_id	Tetracycline
sul1_5_EU780013_1	283	22803	288	0.03102661930447748	SRR18313637_unique_run_id	Folate pathway antagonist
tet(C)_1_NC_003123_1	278	70517	396	0.007167839605407851	SRR17656798_unique_run_id	Tetracycline
tet(35)_1_AF353562_1	274	97396	369	0.00548928237649866	SRR17656796_unique_run_id	Tetracycline
tet(C)_1_NC_003123_1	274	40174	396	0.012400602832225275	SRR17656797_unique_run_id	Tetracycline
tet(G)_3_S52437_1	272	23629	393	0.021089365215922085	SRR18313616_unique_run_id	Tetracycline
tet(34)_1_AB061440_1	272	50594	154	0.02513516052670893	SRR26541430_unique_run_id	Tetracycline
sul1_5_EU780013_1	266	70517	288	0.009430350128337848	SRR17656798_unique_run_id	Folate pathway antagonist
sul2_7_HM486907_1	264	75010	283	0.008954283127385136	SRR17656799_unique_run_id	Folate pathway antagonist
sul1_5_EU780013_1	263	2674	288	0.24588631264023933	SRR29811079_unique_run_id	Folate pathway antagonist
tet(S)_3_X92946_1	263	71425	646	0.004103982288897727	SRR17656795_unique_run_id	Tetracycline
blaADC-25_1_EF016355_1	263	87972	383	0.005620112452110622	SRR17656801_unique_run_id	Beta-lactam
ere(A)_6_DQ157752_1	260	28525	406	0.016164197855998756	SRR18313617_unique_run_id	Macrolide
floR_1_AF071555_1	260	54405	404	0.008516980730331098	SRR17656811_unique_run_id	Amphenicol
tet(X)_1_GU014535_1	259	13702	388	0.03507652581382505	SRR18313639_unique_run_id	Tetracycline
sul1_5_EU780013_1	257	20339	288	0.031589557008702494	SRR18313645_unique_run_id	Folate pathway antagonist
blaCARB-1_1_AF313471_1	257	29851	288	0.021523567049680076	SRR18313618_unique_run_id	Beta-lactam
blaGES-1_1_HQ170511_1	254	28525	287	0.022338739476038805	SRR18313617_unique_run_id	Beta-lactam
floR_1_AF071555_1	254	70517	404	0.0064193494806462645	SRR17656798_unique_run_id	Amphenicol
tmexD1_1_MK347425_1	253	79177	1044	0.002203705098964215	DRR528401_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	252	25084	424	0.01705966067221682	SRR18313614_unique_run_id	Tetracycline
tet(C)_1_NC_003123_1	252	28525	396	0.01606246514221974	SRR18313617_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	251	29851	388	0.01560326943406548	SRR18313618_unique_run_id	Tetracycline
tet(G)_1_AF133139_1	251	28525	391	0.016203312479966644	SRR18313617_unique_run_id	Tetracycline
blaCMY-98_1_KC603538_1	247	79177	376	0.005973688361572873	DRR528401_unique_run_id	Beta-lactam
blaCMY-98_1_KC603538_1	246	52971	376	0.008892862694440996	DRR528402_unique_run_id	Beta-lactam
sul1_11_DQ914960_1	245	28525	293	0.021105969555476455	SRR18313617_unique_run_id	Folate pathway antagonist
tet(A)_6_AF534183_1	243	32914	424	0.012536960242874224	SRR18313620_unique_run_id	Tetracycline
floR_1_AF071555_1	242	23629	404	0.018252449477881894	SRR18313616_unique_run_id	Amphenicol
aph(6)-Id_1_M28829_1	240	70517	278	0.008814650847497052	SRR17656798_unique_run_id	Aminoglycoside
msr(E)_1_FR751518_1	240	61484	491	0.0057240066827778015	SRR17656803_unique_run_id	Multiple
msr(E)_1_FR751518_1	239	40174	491	0.008723762427736698	SRR17656797_unique_run_id	Multiple
sul1_5_EU780013_1	238	79177	288	0.0075148085934046505	DRR528401_unique_run_id	Folate pathway antagonist
aph(3'')-Ib_1_M28829_1	235	70517	267	0.008986597064091486	SRR17656798_unique_run_id	Aminoglycoside
blaOXA-392_1_AB901044_1	233	23629	276	0.025723732995747674	SRR18313616_unique_run_id	Beta-lactam
mph(E)_1_DQ839391_1	232	2674	294	0.21247691297910337	SRR29811079_unique_run_id	Macrolide
mph(E)_1_DQ839391_1	231	2103	294	0.26900346443855716	SRR29811082_unique_run_id	Macrolide
sul1_5_EU780013_1	231	20773	288	0.02780051027776441	SRR18313644_unique_run_id	Folate pathway antagonist
sul1_5_EU780013_1	230	2103	288	0.2734189253447456	SRR29811082_unique_run_id	Folate pathway antagonist
sul2_7_HM486907_1	227	32914	283	0.017546530405504784	SRR18313620_unique_run_id	Folate pathway antagonist
msr(E)_1_FR751518_1	227	71425	491	0.004660436687822171	SRR17656795_unique_run_id	Multiple
tet(X)_1_GU014535_1	226	27099	388	0.015475901077492494	SRR18313612_unique_run_id	Tetracycline
tet(S)_3_X92946_1	224	70517	646	0.0035404149740411277	SRR17656798_unique_run_id	Tetracycline
tet(33)_1_AY255627_1	222	40174	407	0.00977565770715569	SRR17656797_unique_run_id	Tetracycline
blaOXA-280_1_APPZ01000001_1	219	97396	275	0.00588711875417695	SRR17656796_unique_run_id	Beta-lactam
aadA8_1_AF326210_1	218	67198	263	0.008881307236081284	DRR528403_unique_run_id	Aminoglycoside
imiS_1_Y10415_1	217	79177	255	0.007738432655353716	DRR528401_unique_run_id	Beta-lactam
tet(X)_1_GU014535_1	216	12853	388	0.031185306330665314	SRR18313638_unique_run_id	Tetracycline
OqxB_1_EU370913_1	214	67198	1050	0.0021837384616038742	DRR528403_unique_run_id	Multiple
tet(35)_1_AF353562_1	214	50594	369	0.008253171830844688	SRR26541430_unique_run_id	Tetracycline
blaGES-1_1_HQ170511_1	214	24015	287	0.02235536587542194	SRR18313629_unique_run_id	Beta-lactam
aph(3'')-Ib_1_M28829_1	213	32914	267	0.0174509941809537	SRR18313620_unique_run_id	Aminoglycoside
aph(6)-Id_1_M28829_1	213	72555	278	0.007603262025484017	SRR17656794_unique_run_id	Aminoglycoside
OqxB_1_EU370913_1	213	79177	1050	0.0018446915500352735	DRR528401_unique_run_id	Multiple
floR_1_AF071555_1	213	40174	404	0.00944899587783242	SRR17656797_unique_run_id	Amphenicol
sul2_7_HM486907_1	211	87972	283	0.00610216646189544	SRR17656801_unique_run_id	Folate pathway antagonist
aph(6)-Id_1_M28829_1	207	40174	278	0.013344827697358218	SRR17656797_unique_run_id	Aminoglycoside
tet(C)_1_NC_003123_1	204	20773	396	0.01785534544404231	SRR18313644_unique_run_id	Tetracycline
aph(3'')-Ib_1_M28829_1	201	72555	267	0.007470504746883225	SRR17656794_unique_run_id	Aminoglycoside
msr(E)_1_FR751518_1	200	33175	491	0.008840362393466727	SRR17656812_unique_run_id	Multiple
tet(A)_6_AF534183_1	197	26209	424	0.012763871261276372	SRR18313619_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	197	24656	424	0.013567825352319615	SRR18313627_unique_run_id	Tetracycline
floR_1_AF071555_1	197	87972	404	0.003990918802697347	SRR17656801_unique_run_id	Amphenicol
tet(G)_1_AF133139_1	196	29851	391	0.012090741218469462	SRR18313618_unique_run_id	Tetracycline
sul1_5_EU780013_1	195	22669	288	0.021505139176849444	SRR18313636_unique_run_id	Folate pathway antagonist
blaGES-1_1_HQ170511_1	194	23666	287	0.020564941074553506	SRR18313626_unique_run_id	Beta-lactam
imiS_1_Y10415_1	193	52971	255	0.010287538020248592	DRR528402_unique_run_id	Beta-lactam
tet(34)_1_AB061440_1	192	52391	154	0.017133903488430028	SRR26541427_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	192	28409	424	0.011476565026894878	SRR18313615_unique_run_id	Tetracycline
blaACT-9_1_HQ693810_1	191	71425	380	0.0050667796547722126	SRR17656795_unique_run_id	Beta-lactam
aph(6)-Id_1_M28829_1	191	26209	278	0.01887428970936723	SRR18313619_unique_run_id	Aminoglycoside
aph(3'')-Ib_1_M28829_1	191	40174	267	0.0128206347332922	SRR17656797_unique_run_id	Aminoglycoside
tet(X)_1_GU014535_1	191	18962	388	0.018691751381221478	SRR18313623_unique_run_id	Tetracycline
aadA8_1_AF326210_1	191	32914	263	0.015886544748140736	SRR18313620_unique_run_id	Aminoglycoside
mph(E)_1_DQ839391_1	190	40174	294	0.011582270185915757	SRR17656797_unique_run_id	Macrolide
tet(G)_3_S52437_1	190	22669	393	0.015355401784526672	SRR18313636_unique_run_id	Tetracycline
sul1_5_EU780013_1	188	24473	288	0.019204837984717855	SRR18313634_unique_run_id	Folate pathway antagonist
tet(A)_6_AF534183_1	188	24473	424	0.013044795612261184	SRR18313634_unique_run_id	Tetracycline
blaADC-25_1_EF016355_1	188	61484	383	0.00574816806868857	SRR17656803_unique_run_id	Beta-lactam
tet(X)_1_GU014535_1	187	18315	388	0.01894678183337977	SRR18313633_unique_run_id	Tetracycline
sul2_7_HM486907_1	186	29851	283	0.015852586101074678	SRR18313618_unique_run_id	Folate pathway antagonist
tet(Q)_3_U73497_1	186	24473	654	0.008367206398963547	SRR18313634_unique_run_id	Tetracycline
blaOXA-266_1_APPO01000008_1	185	67198	275	0.007208006731802084	DRR528403_unique_run_id	Beta-lactam
sul1_5_EU780013_1	184	40174	288	0.011450191666251804	SRR17656797_unique_run_id	Folate pathway antagonist
sul2_7_HM486907_1	183	97396	283	0.00478030965203148	SRR17656796_unique_run_id	Folate pathway antagonist
dfrA12_1_FJ763641_1	183	67198	165	0.011883470557835868	DRR528403_unique_run_id	Folate pathway antagonist
tet(A)_6_AF534183_1	183	87972	424	0.0035324275562807718	SRR17656801_unique_run_id	Tetracycline
vanM_1_FJ349556_1	181	87972	226	0.006554780704560462	SRR17656801_unique_run_id	Glycopeptide
tet(D)_1_AF467077_1	181	79177	394	0.0041774937332785655	DRR528401_unique_run_id	Tetracycline
tet(G)_3_S52437_1	180	22803	393	0.014461737155918615	SRR18313637_unique_run_id	Tetracycline
OqxB_1_EU370913_1	180	224532	1050	0.0005497148354291211	SRR26541425_unique_run_id	Multiple
sul1_5_EU780013_1	179	52971	288	0.008448018727228106	DRR528402_unique_run_id	Folate pathway antagonist
blaCMY-18_1_AY743434_1	178	79177	383	0.00422624512070009	DRR528401_unique_run_id	Beta-lactam
tet(A)_6_AF534183_1	178	20339	424	0.014861308370293341	SRR18313645_unique_run_id	Tetracycline
tet(G)_3_S52437_1	178	32914	393	0.009907846819864119	SRR18313620_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	176	26209	388	0.01246128956252928	SRR18313619_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	175	25084	388	0.012946191518148506	SRR18313614_unique_run_id	Tetracycline
blaOXA-5_1_AF347074_1	175	49816	267	0.009473063119470665	ERR10466834_unique_run_id	Beta-lactam
tet(G)_3_S52437_1	173	28409	393	0.011156554784944777	SRR18313615_unique_run_id	Tetracycline
aph(6)-Id_1_M28829_1	171	87972	278	0.0050343029354990975	SRR17656801_unique_run_id	Aminoglycoside
blaOXA-212_1_JN861780_1	170	61484	274	0.0072655541029723715	SRR17656803_unique_run_id	Beta-lactam
floR_1_AF071555_1	169	29851	404	0.010089716217610168	SRR18313618_unique_run_id	Amphenicol
tet(X)_1_GU014535_1	168	15891	388	0.01961818496756577	SRR18313646_unique_run_id	Tetracycline
sul1_5_EU780013_1	168	28251	288	0.014866730381225445	SRR18313613_unique_run_id	Folate pathway antagonist
aadA8_1_AF326210_1	168	72555	263	0.006338969807354746	SRR17656794_unique_run_id	Aminoglycoside
mph(E)_1_DQ839391_1	167	97396	294	0.004199141564712459	SRR17656796_unique_run_id	Macrolide
tet(G)_3_S52437_1	167	25084	393	0.012197185396000737	SRR18313614_unique_run_id	Tetracycline
qnrB33_1_JN173055_1	166	67198	214	0.008311328802898841	DRR528403_unique_run_id	Quinolone
tet(34)_1_AB061440_1	166	50828	154	0.015269219644760685	SRR26541428_unique_run_id	Tetracycline
OqxA_1_EU370913_1	164	70517	391	0.004282582709282668	SRR17656798_unique_run_id	Multiple
sul1_11_DQ914960_1	164	67198	293	0.005997253087432413	DRR528403_unique_run_id	Folate pathway antagonist
fosA2_1_EU487198_1	164	71425	141	0.011724841561226997	SRR17656795_unique_run_id	Fosfomycin
tet(C)_1_NC_003123_1	164	28251	396	0.010554734989268282	SRR18313613_unique_run_id	Tetracycline
blaOXA-334_1_KF203108_1	163	97396	274	0.004397728529746721	SRR17656796_unique_run_id	Beta-lactam
tmexD1_1_MK347425_1	163	23629	1044	0.0047574502985081165	SRR18313616_unique_run_id	Tetracycline
OqxB_1_EU370913_1	162	27667	1050	0.004015097924809856	SRR15530479_unique_run_id	Multiple
blaOXA-347_1_ACWG01000053_1	162	24015	274	0.01772614743522525	SRR18313629_unique_run_id	Beta-lactam
tet(C)_1_NC_003123_1	162	24473	396	0.012035527092937301	SRR18313634_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	162	23666	424	0.011624031928616644	SRR18313626_unique_run_id	Tetracycline
tet(X)_1_GU014535_1	162	22623	388	0.013288182676967287	SRR18313631_unique_run_id	Tetracycline
sul1_5_EU780013_1	160	20705	288	0.019319005071238834	SRR18313642_unique_run_id	Folate pathway antagonist
tet(35)_1_AF353562_1	160	52391	369	0.0059589456576744	SRR26541427_unique_run_id	Tetracycline
blaOXA-5_1_AF347074_1	160	43172	267	0.009993993193674219	ERR10466833_unique_run_id	Beta-lactam
OqxB_1_EU370913_1	160	66345	1050	0.001653693356157747	SRR14061755_unique_run_id	Multiple
tet(35)_1_AF353562_1	160	50828	369	0.0061421878089088595	SRR26541428_unique_run_id	Tetracycline
blaCMY-18_1_AY743434_1	159	52971	383	0.005642774239789218	DRR528402_unique_run_id	Beta-lactam
floR_1_AF071555_1	159	25084	404	0.01129669656488851	SRR18313614_unique_run_id	Amphenicol
tet(X)_1_GU014535_1	158	19574	388	0.014978843174040043	SRR18313621_unique_run_id	Tetracycline
tmexD1_1_MK347425_1	158	28525	1044	0.0038200006044304753	SRR18313617_unique_run_id	Tetracycline
tet(A)_6_AF534183_1	158	104385	424	0.0025703107418925406	SRR17656802_unique_run_id	Tetracycline
floR_1_AF071555_1	157	33486	404	0.008355789888252398	SRR17656809_unique_run_id	Amphenicol
tet(D)_1_AF467077_1	157	52971	394	0.005416238192586365	DRR528402_unique_run_id	Tetracycline
sul2_7_HM486907_1	157	13951	283	0.028631254316913837	SRR18313641_unique_run_id	Folate pathway antagonist
aadA8_1_AF326210_1	157	2674	263	0.1607366813506204	SRR29811079_unique_run_id	Aminoglycoside
tet(X)_1_GU014535_1	155	20773	388	0.013846284406651975	SRR18313644_unique_run_id	Tetracycline
